FID,postcode,pc_name,pa_fips,city_town,county,area_sqmi
218,2717,EAST FREETOWN,19120,"FREETOWN, TOWN OF",BRISTOL,19.49451905
219,2571,WAREHAM,72950,"WAREHAM, TOWN OF",PLYMOUTH,19.28675957
220,2532,BUZZARDS BAY,10015,"BOURNE, TOWN OF",BARNSTABLE,19.06934684
221,2066,SCITUATE,60295,"SCITUATE, TOWN OF",PLYMOUTH,16.79866201
222,2779,BERKLEY,5245,"BERKLEY, TOWN OF",BRISTOL,16.82464022
223,1506,BROOKFIELD,9070,"BROOKFIELD, TOWN OF",WORCESTER,16.75592443
224,1960,PEABODY,52490,PEABODY,ESSEX,16.73734506
225,1746,HOLLISTON,30735,"HOLLISTON, TOWN OF",MIDDLESEX,18.92314106
226,2019,BELLINGHAM,4965,"BELLINGHAM, TOWN OF",NORFOLK,18.92076166
227,2301,BROCKTON,9000,BROCKTON,PLYMOUTH,12.59871864
228,1020,CHICOPEE,13660,CHICOPEE,HAMPDEN,12.5848217
229,2719,FAIRHAVEN,22165,"FAIRHAVEN, TOWN OF",BRISTOL,12.48580136
230,1505,BOYLSTON,7490,"BOYLSTON, TOWN OF",WORCESTER,18.74784871
231,1532,NORTHBOROUGH,46785,"NORTHBOROUGH, TOWN OF",WORCESTER,18.69268075
232,2379,WEST BRIDGEWATER,75225,"WEST BRIDGEWATER, TOWN OF",PLYMOUTH,15.65883331
233,2482,WELLESLEY,74210,"WELLESLEY, TOWN OF",NORFOLK,4.86989379
234,1905,LYNN,37490,LYNN,ESSEX,4.86558319
235,2339,HANOVER,28250,"HANOVER, TOWN OF",PLYMOUTH,15.61457403
236,1863,NORTH CHELMSFORD,47310,"CHELMSFORD, TOWN OF",MIDDLESEX,4.80271258
237,1346,HEATH,29615,"HEATH, TOWN OF",FRANKLIN,4.80192654
238,2338,HALIFAX,27760,"HALIFAX, TOWN OF",PLYMOUTH,17.42146964
239,2739,MATTAPOISETT,39415,"MATTAPOISETT, TOWN OF",PLYMOUTH,17.41307061
240,1603,WORCESTER,82000,WORCESTER,WORCESTER,4.77564454
241,2478,BELMONT,5105,"BELMONT, TOWN OF",MIDDLESEX,4.70109307
242,1460,LITTLETON,35915,"LITTLETON, TOWN OF",MIDDLESEX,17.23051935
243,1376,TURNERS FALLS,70815,"MONTAGUE, TOWN OF",FRANKLIN,4.60415993
244,1821,BILLERICA,5770,"BILLERICA, TOWN OF",MIDDLESEX,17.01223411
245,1050,HUNTINGTON,31750,"CHESTER, TOWN OF",HAMPDEN,16.9885371
246,2668,WEST BARNSTABLE,74805,BARNSTABLE,BARNSTABLE,16.91601285
247,1612,PAXTON,52385,"PAXTON, TOWN OF",WORCESTER,15.56045276
248,1053,LEEDS,34725,NORTHAMPTON,HAMPSHIRE,4.5818973
249,1951,NEWBURY,45175,"NEWBURY, TOWN OF",ESSEX,17.72522513
250,1879,TYNGSBORO,70955,"TYNGSBOROUGH, TOWN OF",MIDDLESEX,17.63680648
251,1901,LYNN,37490,LYNN,ESSEX,0.28586272
252,2333,EAST BRIDGEWATER,18420,"EAST BRIDGEWATER, TOWN OF",PLYMOUTH,17.59598057
253,1071,RUSSELL,58615,"RUSSELL, TOWN OF",HAMPDEN,18.38903068
254,2760,NORTH ATTLEBORO,46505,"NORTH ATTLEBOROUGH, TOWN OF",BRISTOL,18.38782614
255,1089,WEST SPRINGFIELD,77885,"WEST SPRINGFIELD, TOWN OF",HAMPDEN,17.56702447
256,1701,FRAMINGHAM,24960,"FRAMINGHAM, TOWN OF",MIDDLESEX,17.50691851
257,2563,SANDWICH,59700,"SANDWICH, TOWN OF",BARNSTABLE,17.44457133
258,2663,SOUTH WELLFLEET,65650,"WELLFLEET, TOWN OF",BARNSTABLE,0.28517882
259,2493,WESTON,77290,"WESTON, TOWN OF",MIDDLESEX,17.3284727
260,1524,LEICESTER,34760,"LEICESTER, TOWN OF",WORCESTER,17.2384681
261,2111,BOSTON,7000,BOSTON,SUFFOLK,0.28243222
262,1887,WILMINGTON,80195,"WILMINGTON, TOWN OF",MIDDLESEX,17.13941417
263,1075,SOUTH HADLEY,64110,"SOUTH HADLEY, TOWN OF",HAMPSHIRE,17.10297367
264,2702,ASSONET,2340,"FREETOWN, TOWN OF",BRISTOL,16.89180252
265,1066,NORTH HATFIELD,48185,"HATFIELD, TOWN OF",HAMPSHIRE,0.21951527
266,1770,SHERBORN,61345,"SHERBORN, TOWN OF",MIDDLESEX,16.12961653
267,1756,MENDON,40220,"MENDON, TOWN OF",WORCESTER,17.98531918
268,1464,SHIRLEY,61555,"SHIRLEY, TOWN OF",MIDDLESEX,15.9855142
269,2653,ORLEANS,51405,"ORLEANS, TOWN OF",BARNSTABLE,15.91339534
270,1778,WAYLAND,73755,"WAYLAND, TOWN OF",MIDDLESEX,15.89426224
271,2645,HARWICH,28985,HARWICH,BARNSTABLE,17.91297128
272,2081,WALPOLE,72460,"WALPOLE, TOWN OF",NORFOLK,17.88059135
273,1062,FLORENCE,24050,NORTHAMPTON,HAMPSHIRE,17.85836956
274,1969,ROWLEY,58370,"ROWLEY, TOWN OF",ESSEX,17.76656333
275,1741,CARLISLE,11490,"CARLISLE, TOWN OF",MIDDLESEX,15.42731179
276,2771,SEEKONK,60680,"SEEKONK, TOWN OF",BRISTOL,18.68388184
277,1094,WHEELWRIGHT,79180,"HARDWICK, TOWN OF",WORCESTER,0.21098569
278,2743,ACUSHNET,485,"ACUSHNET, TOWN OF",BRISTOL,18.3472538
279,1028,EAST LONGMEADOW,19680,"EAST LONGMEADOW, TOWN OF",HAMPDEN,12.9900184
280,1824,CHELMSFORD,13100,"CHELMSFORD, TOWN OF",MIDDLESEX,18.1405142
281,1775,STOW,68015,"STOW, TOWN OF",MIDDLESEX,17.99819497
282,1224,BERKSHIRE,5315,"LANESBOROUGH, TOWN OF",BERKSHIRE,0.18532068
283,1262,STOCKBRIDGE,67560,"STOCKBRIDGE, TOWN OF",BERKSHIRE,15.01129688
284,1982,SOUTH HAMILTON,64215,"HAMILTON, TOWN OF",ESSEX,14.81697173
285,2375,SOUTH EASTON,63725,"EASTON, TOWN OF",BRISTOL,14.81273801
286,1915,BEVERLY,5595,BEVERLY,ESSEX,14.76571835
287,1583,WEST BOYLSTON,75120,"WEST BOYLSTON, TOWN OF",WORCESTER,14.7720409
288,2163,BOSTON,7000,BOSTON,SUFFOLK,0.12133642
289,2052,MEDFIELD,39730,"MEDFIELD, TOWN OF",NORFOLK,14.56583703
290,2553,MONUMENT BEACH,42670,"BOURNE, TOWN OF",BARNSTABLE,0.11848982
291,1354,GILL,25710,"GILL, TOWN OF",FRANKLIN,14.56189331
292,1827,DUNSTABLE,17790,"DUNSTABLE, TOWN OF",MIDDLESEX,16.72090085
293,1012,CHESTERFIELD,13555,"CHESTERFIELD, TOWN OF",HAMPSHIRE,16.63193679
294,1501,AUBURN,2795,"AUBURN, TOWN OF",WORCESTER,16.61910165
295,1801,WOBURN,81035,WOBURN,MIDDLESEX,12.92433916
296,1521,HOLLAND,30630,"HOLLAND, TOWN OF",HAMPDEN,12.90688812
297,2072,STOUGHTON,67980,"STOUGHTON, TOWN OF",NORFOLK,16.54588958
298,1527,MILLBURY,41305,"MILLBURY, TOWN OF",WORCESTER,16.44778635
299,1949,MIDDLETON,41130,"MIDDLETON, TOWN OF",ESSEX,14.50522906
300,1522,JEFFERSON,32590,"HOLDEN, TOWN OF",WORCESTER,15.86943088
301,1570,WEBSTER,73930,"WEBSTER, TOWN OF",WORCESTER,14.5042978
302,1760,NATICK,43930,"NATICK, TOWN OF",MIDDLESEX,15.77607703
303,2720,FALL RIVER,23000,FALL RIVER,BRISTOL,15.73243933
304,1757,MILFORD,41200,"MILFORD, TOWN OF",WORCESTER,15.50189408
305,1106,LONGMEADOW,36335,"LONGMEADOW, TOWN OF",HAMPDEN,9.65233734
306,2056,NORFOLK,46015,"NORFOLK, TOWN OF",NORFOLK,15.49352305
307,2576,WEST WAREHAM,78410,"WAREHAM, TOWN OF",PLYMOUTH,9.52609426
308,2660,SOUTH DENNIS,63655,"DENNIS, TOWN OF",BARNSTABLE,9.20776746
309,2357,STONEHILL COLLEGE,47625,"EASTON, TOWN OF",BRISTOL,0.11141458
310,2341,HANSON,28460,"HANSON, TOWN OF",PLYMOUTH,15.49169269
